GP3S,Brand,Series,Model,Variant,Comment
Garmin quatix 6 Titanium,Garmin,Quatix,Quatix 6,Titanium,
Garmin quatix 6,Garmin,Quatix,Quatix 6,,
Garmin quatix6,Garmin,Quatix,Quatix 6,,
Garmin Quatix 7 Pro,Garmin,Quatix,Quatix 7,Pro,
Garmin quatix 7 Sapphire,Garmin,Quatix,Quatix 7,Sapphire,
Garmin quatix 7,Garmin,Quatix,Quatix 7,,
Garmin quatix 7X Solar,Garmin,Quatix,Quatix 7X,Solar,
Garmin Rino 120,Garmin,Rino,Rino 120,,Handheld from 2003
Garmin Tactix 7,Garmin,Tactix,Tactix 7,,
Garmin tactix Charlie,Garmin,Tactix,Tactix Charlie,,
Garmin TactixCharlie,Garmin,Tactix,Tactix Charlie,,
Garmin Tactix Delta Solar,Garmin,Tactix,Tactix Delta,Solar,
Garmin Venu,Garmin,Venu,,,
Garmin Venu 2,Garmin,Venu,Venu 2,,
Garmin Venu 2 Plus,Garmin,Venu,Venu 2 Plus,,
Garmin vívoactive HR,Garmin,Vivoactive,Vivoactive HR,,
Garmin vivoactiveHR,Garmin,Vivoactive,Vivoactive HR,,
Garmin vivoactive 3 Music,Garmin,Vivoactive,Vivoactive 3,Music,
Garmin vivoactive3MusicWifi,Garmin,Vivoactive,Vivoactive 3,Music WiFi,
Garmin vívoactive 3,Garmin,Vivoactive,Vivoactive 3,,
Garmin vivoactive3,Garmin,Vivoactive,Vivoactive 3,,
Garmin vívoactive 4,Garmin,Vivoactive,Vivoactive 4,,
Garmin vivoactive4WifiLarge,Garmin,Vivoactive,Vivoactive 4,,
Garmin vívoactive 4S,Garmin,Vivoactive,Vivoactive 4S,,
Garmin vivoactive4WifiSmall,Garmin,Vivoactive,Vivoactive 4S,,
Garmin vívoactive 5,Garmin,Vivoactive,Vivoactive 5,,
Garmin vívomove Style,Garmin,Vivomove,Vivomove,Style,
Garmin vivosmartHR+,Garmin,Vivosmart,Vivosmart HR+,,
Garmin,Garmin,,,,
Garmin unknown,Garmin,,,,
GPS Logit App,GPS Logit,,App,,
Gyro 1,Gyro,,1,,
Locosys GT-11,Locosys,,GT-11,,
Locosys GT-31,Locosys,,GT-31,,
GW52-52,Locosys,,GW-52,,
Locosys GW-60,Locosys,,GW-60,,
Mobile Phone App,Mobile Phone,,App,,
Motion,Motion,,,,
Polar,Polar,,,,
Sailmon,Sailmon,,,,
Salmon,Sailmon,,,,
Suunto 5 Peak,Suunto,,5,Peak,
Suunto 5,Suunto,,5,,
Suunto 7,Suunto,,7,,
Suunto 9 Baro,Suunto,,9,Baro,
Suunto 9 Peak,Suunto,,9,Peak,
Suunto 9,Suunto,,9,,
suunto,Suunto,,,,
Suunto Ambit,Suunto,Ambit,,,
Suunto Ambit Series,Suunto,Ambit,,,
Suunto Ambit2 R,Suunto,Ambit,Ambit2,R,
Suunto Ambit2 S,Suunto,Ambit,Ambit2,S,
Suunto Ambit2,Suunto,Ambit,Ambit2,,
Suunto Ambit3 Peak,Suunto,Ambit,Ambit3,Peak,
Suunto Ambit3 Run,Suunto,Ambit,Ambit3,Run,
Suunto Ambit3 Sport,Suunto,Ambit,Ambit3,Sport,
Suunto M9,Suunto,,M-9,,Magnetic compass
Suunto Race,Suunto,,Race,,
Suunto Spartan Sport Wrist HR,Suunto,Spartan,Spartan Sport,Wrist HR,
Suunto Spartan Sport,Suunto,Spartan,Spartan Sport,,
Suunto Spartan Trainer Wrist HR,Suunto,Spartan,Spartan Trainer,Wrist HR,
Suunto Spartan Ultra,Suunto,Spartan,Spartan Ultra,,
Suunto Traverse Alpha,Suunto,,Traverse,Alpha,
Thingsee,Thingsee,,,,
TomTom,TomTom,,,,
unknown,unknown,,,,
Vakaros,Vakaros,,,,
waterspeed,Waterspeed,,App,,
Waterspeed App,Waterspeed,,App,,
